x	y
0	4.139
0	4.13382
0	4.12864
0	4.12345
0	4.11825
0	4.11305
0	4.10784
0	4.10263
0	4.09742
0	4.0922
0	4.08697
0	4.08174
0	4.07651
0	4.07127
0	4.06602
0	4.06077
0	4.05552
0	4.05026
0	4.04499
0	4.03972
0	4.03444
0	4.02916
0	4.02387
0	4.01858
0	4.01328
0	4.00798
0	4.00267
0	3.99736
0	3.99204
0	3.98672
0	3.98139
0	3.97606
0	3.97072
0	3.96538
0	3.96003
0	3.95468
0	3.94932
0	3.94395
0	3.93859
0	3.93321
0	3.92783
0	3.92245
0	3.91706
0	3.91167
0	3.90627
0	3.90087
0	3.89547
0	3.89006
0	3.88464
0	3.87922
0	3.8738
0	3.86837
0	3.86293
0	3.85749
0	3.85205
0	3.8466
0	3.84115
0	3.83569
0	3.83022
0	3.82476
0	3.81929
0	3.81381
0	3.80833
0	3.80284
0	3.79735
0	3.79186
0	3.78636
0	3.78085
0	3.77534
0	3.76983
0	3.76431
0	3.75879
0	3.75326
0	3.74772
0	3.74219
0	3.73665
0	3.7311
0	3.72555
0	3.71999
0	3.71443
0	3.70887
0	3.7033
0	3.69773
0	3.69215
0	3.68657
0	3.68098
0	3.67539
0	3.66979
0	3.66419
0	3.65859
0	3.65298
0	3.64736
0	3.64174
0	3.63611
0	3.63049
0	3.62485
0	3.61921
0	3.61357
0	3.60792
0	3.60227
0	3.59662
0	3.59096
0	3.58529
0	3.57963
0	3.57395
0	3.56828
0	3.56259
0	3.55691
0	3.55122
0	3.54552
0	3.53982
0	3.53412
0	3.52841
0	3.5227
0	3.51698
0	3.51126
0	3.50554
0	3.49981
0	3.49408
0	3.48834
0	3.4826
0	3.47685
0	3.4711
0	3.46535
0	3.45959
0	3.45383
0	3.44806
0	3.44228
0	3.43651
0	3.43072
0	3.42494
0	3.41915
0	3.41336
0	3.40756
0	3.40176
0	3.39595
0	3.39014
0	3.38433
0	3.37851
0	3.37269
0	3.36686
0	3.36103
0	3.35519
0	3.34935
0	3.3435
0	3.33765
0	3.3318
0	3.32594
0	3.32008
0	3.31421
0	3.30834
0	3.30247
0	3.29659
0	3.29071
0	3.28482
0	3.27893
0	3.27303
0	3.26713
0	3.26123
0	3.25532
0	3.24941
0	3.2435
0	3.23758
0	3.23165
0	3.22573
0	3.21979
0	3.21386
0	3.20792
0	3.20198
0	3.19603
0	3.19008
